ID,Cs,FA,MA,Br,Cl,I,t,BG,H,L,hm,em,Phm,Pem,Gr. Size,PCE,Voc,Jsc,FF,
,,,,,,,,(eV),(eV),(eV),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(cm2V -1 S -1 ),(nm),(%),(V),(mAcm-2),,
,,,,,,,,,,,,,,,,,,,,
1,0,0.2,0.8,0,0.07,0.93,1.026933,1.5,0.24,0.7,0.000992,0.0012,0.7,4,100,18.1,0.998,22.18,0.819,
2,0,0,1,0,0.05,0.95,0.991773,1.5,0.3,0.1,0.000369,0.00033,1,10,100,14.2,0.94,19.6,0.77,
3,0,0,1,0,0.05,0.95,0.991773,1.55,0.1,0.15,0.000369,0.00033,0.9,9,150,15.12,0.99,19.58,0.78,
4,0,0,1,0,0.05,0.95,0.991773,1.55,0.08,0.25,0.000033,0.000465,1,11,120,17.14,1.08,21.45,0.74,
5,0,0,1,0,0.05,0.95,0.991773,1.63,0.21,0.15,0.000033,0.000465,2,10,100,15.15,1.036,19.1,0.77,
6,0,0,1,0,0.05,0.95,0.991773,1.5,0.1,0.06,0.00033,0.00033,0.9,10,200,16,0.97,21.9,0.75,
7,0,0,1,0,0,1,0.986364,1.54,0.22,0.5,0.000465,0.0004,0.9,10,100,12.9,0.97,21.57,0.619,
8,0,1,0,0,0,1,1.15,1.54,0.22,0.5,0.000465,0.0004,6,1,200,13.11,1.11,18.82,0.628,
9,0,0.4,0.6,0,0,1,1.051818,1.5,0.18,0.3,0.000465,0.0004,10,4,230,14.19,0.961,22.32,0.662,
10,0,0.85,0.15,0,0,1,1.125455,1.6,0.18,0.4,0.000465,0.0004,8,3,200,14.86,1.145,20.92,0.62,
11,0,0.83,0.17,0.17,0,0.83,1.157051,1.8,0.08,0.1,0.000465,0.0004,4,1,100,16.4,1.14,21.5,0.67,
12,0.1,0.9,0,0,0,1,1.120455,1.48,0.16,0.5,0.000465,0.0004,7,1,150,16.06,1,22.18,0.724,
13,0.15,0.85,0,0,0,1,1.105682,1.55,0.22,0.5,0.000465,0.0004,10,2,100,16.59,1.12,21.4,0.697,
14,0.15,0.75,0.1,0,0,1,1.089318,1.55,0.03,0.3,0.000465,0.0004,2,10,120,19.48,1.13,22.93,0.753,
15,0.05,0.81,0.14,0.15,0,0.85,1.142704,1.6,0.18,0.4,0.000465,0.0004,7,10,200,7.23,0.84,16.88,0.51,
16,0.15,0.75,0.1,0.04,0,0.96,1.097098,1.57,0.35,0.4,0.000465,0.0004,5,11,170,20.2,1.13,23.49,0.77,
17,0.15,0.75,0.1,0.13,0,0.87,1.115014,1.5,0.33,0.6,0.000465,0.0004,7,10,150,13.52,1.11,19.21,0.633,
18,0.01,0.84,0.15,0.15,0,0.85,1.153164,1.6,0.18,0.4,0.000465,0.0004,2,9,100,19.1,1.17,22.45,0.75,
19,0,0,1,0,0,1,0.986364,1.5,0.18,0.21,0.000465,0.000033,0.9,0.7,301,17.43,1.06,22.13,0.7,
20,0,0,1,0.05,0,0.95,0.995185,1.6,0.213,0.213,0.000465,0.000033,0.24,6.9,120,18.97,1.08,23.37,0.75,
21,0,0,1,0.33,0,0.67,1.047651,1.8,0.42,0.36,0.000465,0.000033,1.5,6.4,130,10.03,1.09,14.81,0.62,
22,1,0,0,0,0,1,0.854545,1.73,0.13,0.7,0.000465,0.000033,26,10,180,11.4,1.08,16.25,0.66,
23,0,1,0,0,0,1,1.15,1.48,0.2,0.1,0.000465,0.000033,0.35,0.2,500,18.45,1.08,23.73,0.72,
24,0,1,0,0.2,0,0.8,1.192271,2.1,0.39,0.71,0.000465,0.000033,18.8,3.1,300,17.4,1.18,21.6,0.726,
25,0,0.3,0.7,0,0,1,1.035455,1.5,0.18,0.3,0.000465,0.000033,2,18,100,12.67,0.94,19.26,0.7,
26,0,0.03,0.97,0,0,1,0.991273,1.6,0.3,0.28,0.000465,0.000033,1,7,200,17.92,1.03,22.89,0.76,
